signal_date,watch_date,model,stock_code,stock_name,model_score,model_prob,rank_no,signal_close,auction_proxy_open,auction_gap_pct,amount_ma20,broken_rate,red_rate,limit_down_count,pullback,max_board,daily_candidate_status,auction_filter_status,planned_status,planned_position_pct,intraday_trigger,invalidation_rule,exit_protocol,drop_reason
2025-01-03,2025-01-06,relay,600071,凤凰光学,0.9971228470581919,0.36915797097888037,1,22.07,21.49,-2.6280018124150484,228659709.236,0.0,,0.0,0.0,1.0,pass,drop,drop,0.0,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,auction_gap_lt_-1pct
2025-01-08,2025-01-09,relay,600078,澄星股份,0.9931319756337593,0.35998192356920716,1,6.5,6.33,-2.6153846153846194,69535688.5635,0.0,1.0,0.0,0.0,1.0,pass,drop,drop,0.0,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,auction_gap_lt_-1pct;liquidity_lt_150m
2025-02-11,2025-02-12,relay,600081,东风科技,0.9999999995900549,0.4604883382119313,1,13.03420692,12.71532724,-2.4464831804281384,116819884.00149998,0.0,0.0,0.0,0.0,1.0,drop,drop,drop,0.0,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,red_rate_lt_0.28;auction_gap_lt_-1pct;liquidity_lt_150m
2025-02-18,2025-02-19,relay,600058,五矿发展,0.8933225129569244,0.31870553565132154,1,7.69,7.48,-2.73081924577373,64173086.3625,0.0,,0.0,0.0,1.0,pass,drop,drop,0.0,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,auction_gap_lt_-1pct;liquidity_lt_150m
2025-02-19,2025-02-20,relay,600105,永鼎股份,1.0,0.528444434675158,1,5.78437442,5.953044,2.9159519725557637,369156379.1265,0.0,1.0,0.0,0.0,1.0,pass,pass,watch_intraday,0.04,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,
2025-02-24,2025-02-25,relay,600100,同方股份,0.999999985358834,0.44495706894297543,1,9.48,9.53,0.5274261603375408,1176632548.5995,0.0,0.5,0.0,0.0,2.0,pass,pass,watch_intraday,0.04,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,
2025-02-27,2025-02-28,relay,600076,康欣新材,0.9999999999999943,0.5078412028034476,1,2.49,2.74,10.040160642570273,71830702.0105,0.0,1.0,0.0,0.0,2.0,pass,drop,drop,0.0,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,auction_gap_gt_4pct;limit_up_open_unfilled;liquidity_lt_150m
2025-02-27,2025-02-28,relay,600094,大名城,0.9999999999995003,0.48791642998817625,2,3.75,3.77,0.5333333333333412,111207959.23099999,0.0,1.0,0.0,0.0,2.0,pass,drop,drop,0.0,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,liquidity_lt_150m
2025-03-20,2025-03-21,relay,600063,皖维高新,0.8342355236207811,0.30785066516146126,1,4.6700928,4.59225792,-1.6666666666666718,195257956.72849998,0.5,,0.0,0.0,1.0,drop,drop,drop,0.0,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,broken_rate_gt_0.40;auction_gap_lt_-1pct
2025-03-25,2025-03-26,relay,600105,永鼎股份,0.8535463181284366,0.3112128266408577,1,7.20318324,7.33216586,1.7906336088154173,855751532.165,0.0,,1.0,0.0,1.0,pass,pass,watch_intraday,0.04,wait_for_vwap_reclaim_or_reseal_or_open_price_rebreak,drop_if_first_15m_ret<=-3pct_or_cannot_reclaim_vwap,t2_weak_open_sell_or_t2_close_exit; t3_clear_if_extended,
