signal_date,buy_date,buy_time,sell_date,sell_time,stock_code,stock_name,shares,buy_price,sell_price,buy_amount,sell_amount,buy_fee,sell_fee,total_fee,pnl,pnl_pct,equity_after,pick_reason,buy_reason,sell_reason
2025-01-07,2025-01-08,09:30:00,2025-01-09,15:00:00,000010,美丽生态,2700,2.92,2.96,7884.0,7992.0,5.0,5.0,10.0,98.0,0.012422360248447204,10098.0,Top2 pick rank=1; score=100.00%; raw_prob=100.00%; board=1; ret1=9.85%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-14,2025-01-15,09:30:00,2025-01-16,15:00:00,300058,蓝色光标,1100,7.13793,6.98803347,7851.723,7686.836817,5.0,5.0,10.0,-174.8861829999987,-0.02225943093577293,9923.113817000001,Top2 pick rank=2; score=100.00%; raw_prob=100.00%; board=1; ret1=20.02%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-01-20,2025-01-21,09:30:00,2025-01-22,15:00:00,002965,祥鑫科技,200,31.05577287,32.76966762,6211.154574,6553.933524,5.0,5.0,10.0,332.7789499999999,0.05353453586754387,10255.892767000001,Top2 pick rank=1; score=100.00%; raw_prob=100.00%; board=1; ret1=10.01%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-06,2025-02-07,09:30:00,2025-02-10,15:00:00,600967,内蒙一机,800,9.9811224,10.1504628,7984.89792,8120.37024,5.0,5.0,10.0,125.47232000000076,0.015703870219158037,10381.365087000002,Top2 pick rank=1; score=100.00%; raw_prob=100.00%; board=1; ret1=10.05%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-11,2025-02-12,09:30:00,2025-02-13,15:00:00,300478,杭州高新,600,11.98,10.78,7188.0,6468.0,5.0,5.0,10.0,-730.0,-0.1014875573474211,9651.365087000002,Top2 pick rank=1; score=100.00%; raw_prob=75.56%; board=1; ret1=20.04%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-14,2025-02-17,09:30:00,2025-02-18,15:00:00,300153,科泰电源,300,21.48,22.14,6444.0,6642.0,5.0,5.0,10.0,188.0,0.029151806481625058,9839.365087000002,Top2 pick rank=2; score=100.00%; raw_prob=56.35%; board=1; ret1=20.02%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-19,2025-02-20,09:30:00,2025-02-21,15:00:00,003005,竞业达,200,29.5992075,28.75856175,5919.8414999999995,5751.71235,5.0,5.0,10.0,-178.12915000000066,-0.030064795826183818,9661.235937000001,Top2 pick rank=2; score=99.97%; raw_prob=52.07%; board=1; ret1=10.01%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-24,2025-02-25,09:30:00,2025-02-26,15:00:00,300126,锐奇股份,900,8.19,8.4,7371.0,7560.0,5.0,5.0,10.0,179.0,0.024267895878524945,9840.235937000001,Top2 pick rank=1; score=100.00%; raw_prob=59.07%; board=1; ret1=20.03%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-02-27,2025-02-28,09:30:00,2025-03-03,15:00:00,600167,联美控股,1300,5.9486812,5.601031,7733.28556,7281.3403,5.0,5.0,10.0,-461.9452600000004,-0.05969607304075768,9378.290677,Top2 pick rank=2; score=100.00%; raw_prob=56.49%; board=1; ret1=9.98%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
2025-03-04,2025-03-05,09:30:00,2025-03-06,15:00:00,002227,奥特迅,400,15.5,14.05,6200.0,5620.0,5.0,5.0,10.0,-590.0,-0.09508460918614021,8788.290677,Top2 pick rank=1; score=100.00%; raw_prob=65.68%; board=3; ret1=10.02%.,"model=mlp_h48_e300_gt0, alpha=5; score>=threshold; gap_filter=[-2.00%, 3.00%], max_board=None; risk_profile=strict (broken<=40.00%, red>=28.00%, limit_down<=15, pullback<=8.00%); capital_use=80%; T signal -> T+1 open buy, limit-up open is unfilled.",固定规则：T+2收盘卖出（买入后第1个可卖日） (no intraday-high optimization).
